,__typename,locationType,locationId,mentionCount,rentalInformationV2,snippet.text,snippet.highlightedSpans,details.defaultUrl,details.locationId,details.localizedName,details.locationDescription,details.locationV2.names.longOnlyHierarchyTypeaheadV2,details.thumbnail.photoSizeDynamic.maxWidth,details.thumbnail.photoSizeDynamic.maxHeight,details.thumbnail.photoSizeDynamic.urlTemplate,details.reviewSummary.rating,details.reviewSummary.count,details.detail.__typename,details.thumbnail
0,SERP_LocationResult,EATERY,696184,704,,I had a chance to stop here after work while in Dublin for work.,"[{'length': 6, 'offset': 48}]",/Restaurant_Review-g186605-d696184-Reviews-Bewley_s_Grafton_Street-Dublin_County_Dublin.html,696184,Bewley’s Grafton Street,"Opened in 1927, our historic café nestled in the beating heart of Dublin is proud to have served the city and its visitors for almost a century. Enjoy world-famous tea and coffee, delicious food and extraordinary patisserie while soaking up the atmosphere of our unique Grand European Café style interior, adorned with art, ephemera, and beautiful stained glass, just as many of the great artists and writers of our time have done. Located among the shops of bustling Grafton Street, Dublin’s premier shopping district, Bewley’s is the perfect place to fuel up for the day with a full Irish breakfast, take a break from sightseeing with a tasty lunch or treat yourself to an indulgent patisserie experience. Book now to confirm your Bewley’s Grafton Street experience, our team look forward to extending you the warmest of Irish welcomes!","Dublin, County Dublin, Ireland",1800.0,1200.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/ce/34/a2/organic-granola-pot.jpg?w={width}&h={height}&s=1,4.0,2321,Restaurant,
1,SERP_LocationResult,EATERY,3205289,473,,We accidentally stumbled upon The Celt on our last night in Dublin and,"[{'length': 6, 'offset': 60}]",/Restaurant_Review-g186605-d3205289-Reviews-The_Celt_Bar-Dublin_County_Dublin.html,3205289,The Celt Bar,Connected with The Celtic Lodge and Le Bon Crubeen,"Dublin, County Dublin, Ireland",3648.0,2736.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/ae/ba/d1/the-celt-pub.jpg?w={width}&h={height}&s=1,4.5,2207,Restaurant,
2,SERP_LocationResult,EATERY,1393147,1443,,Definitely one to try in Dublin.,"[{'length': 7, 'offset': 25}]",/Restaurant_Review-g186605-d1393147-Reviews-Il_Valentino-Dublin_County_Dublin.html,1393147,Il Valentino,"Il Valentino Bakery & Café Serving Breakfast & Lunch A selection of freshly made scones, pastries, sandwiches, salads and cakes and sweet treats!","Dublin, County Dublin, Ireland",2048.0,1538.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/96/50/fb/mini-tartlet.jpg?w={width}&h={height}&s=1,4.5,6611,Restaurant,
3,SERP_LocationResult,EATERY,696203,205,,Davy Byrne’s is more than a pub—it’s a portal into Dublin’s literary soul,"[{'length': 8, 'offset': 51}]",/Restaurant_Review-g186605-d696203-Reviews-Davy_Byrne_s-Dublin_County_Dublin.html,696203,Davy Byrne's,"Dublin's most famous pub, certainly in a literary sense, with its Joycean associations. Under new ownership, Davy Byrnes has been lovingly restored, with our Bar Area, Library Room and Outdoor Seating. Lunch and Dinner menu available. Both menus showcase beautiful dishes using only the best in Irish produce.","Dublin, County Dublin, Ireland",800.0,533.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/97/65/d9/outside.jpg?w={width}&h={height}&s=1,4.5,796,Restaurant,
4,SERP_LocationResult,EATERY,6482548,235,,The best food Ive ever had in Dublin.,"[{'length': 7, 'offset': 30}]",/Restaurant_Review-g186605-d6482548-Reviews-Brookwood_Steakhouse-Dublin_County_Dublin.html,6482548,Brookwood Steakhouse,Brookwood Restaurant is an Irish owned Steakhouse located at 141 Baggot Street Lower. Open 7 days a week. Serving the best of Irish beef since 2014.,"Dublin, County Dublin, Ireland",1980.0,1320.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/09/12/ad/brookwood.jpg?w={width}&h={height}&s=1,4.5,960,Restaurant,
5,SERP_LocationResult,EATERY,2201173,227,,"breakfast, unfortunately they did their own take which was more like a Dublin","[{'length': 6, 'offset': 71}]",/Restaurant_Review-g186605-d2201173-Reviews-The_Bakehouse-Dublin_County_Dublin.html,2201173,The Bakehouse,"At The Bakehouse we aim to offer traditional, flavoursome, homemade Irish foods and baked goods. Classic food from a simpler time, that our parents and grandparents grew up on. The sort of food that give comfort similar to a good hug. Simple....but epic all at once. Our foods and baked goods are freshly prepared in our kitchen and bakery in Dublin City Centre. Every day we lovingly bake all of the breads and cakes, we homemake all of the soups, sauces and relishes etc to make sure we give you the best and freshest home cooked flavours.","Dublin, County Dublin, Ireland",2000.0,1333.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/df/3c/cc/food-from-the-heart-of.jpg?w={width}&h={height}&s=1,4.5,887,Restaurant,
6,SERP_LocationResult,EATERY,2407123,535,,Would absolutely stop in here again on our next trip to Dublin,"[{'length': 6, 'offset': 56}]",/Restaurant_Review-g186605-d2407123-Reviews-Madigan_s_Pub_O_Connell_Street-Dublin_County_Dublin.html,2407123,Madigan's Pub O'Connell Street,"Traditional Irish Pub with a Warm Irish Welcome, Great Irish Pints & Whiskeys, Great Food (Breakfast, Lunch and Evening Meals), Traditional Irish Music Every Thursday, Friday and Saturday Evening.Located on O'Connell Street Beside the Well Known Gresham Hotel and a 7 minute walk from Croke Park Stadium. Daniel O'Connell Function Room with private bar and dining facilities located downstairs.","Dublin, County Dublin, Ireland",1200.0,802.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/36/93/39/inside-maidigan-s-o-connell.jpg?w={width}&h={height}&s=1,4.5,1958,Restaurant,
7,SERP_LocationResult,EATERY,946685,634,,Their soda bread was the best we had in Dublin.,"[{'length': 7, 'offset': 40}]",/Restaurant_Review-g186605-d946685-Reviews-The_Winding_Stair-Dublin_County_Dublin.html,946685,The Winding Stair,,"Dublin, County Dublin, Ireland",2000.0,1333.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d2/20/ac/prawn-tacos-at-the-washerwoman.jpg?w={width}&h={height}&s=1,4.5,2292,Restaurant,
8,SERP_LocationResult,EATERY,1485765,573,,the time and has been getting on my case to visit it when I was next in Dublin,"[{'length': 6, 'offset': 72}]",/Restaurant_Review-g186605-d1485765-Reviews-IL_VICOLETTO-Dublin_County_Dublin.html,1485765,IL VICOLETTO,"Please Note that we're open 7 days a week despite any hours published on this forum .We strongly recommend you to visit our website ,as on our website any information is correct.For reservations please contact directly the restaurant or else you may email us directly on our email address .Please be aware that we don''t take responsibility for third parties reservations ( i.E online websites featuring restaurants including this forum also) as none of them are employed by us. In order to avoid any confusion or disappointment please contact the restaurant directly with accurate and detailed contact informations. Regards , the management","Dublin, County Dublin, Ireland",2000.0,1333.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/44/fe/3b/quintarelli-wines-directly.jpg?w={width}&h={height}&s=1,4.5,1907,Restaurant,
9,SERP_LocationResult,EATERY,19043000,155,,visited Mister S for a surprise birthday meal for myself on our trip to Dublin.,"[{'length': 7, 'offset': 72}]",/Restaurant_Review-g186605-d19043000-Reviews-Mister_S-Dublin_County_Dublin.html,19043000,Mister S,"Mister S serves up the best of Irish meat, fish and vegetables which have all been cooked over a bespoke wood and charcoal grill. Expect dry-aged steaks, smoked meats & sustainably sourced fish in a warm and welcoming space.","Dublin, County Dublin, Ireland",800.0,525.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/54/bf/b4/keeping-an-eye-on-the.jpg?w={width}&h={height}&s=1,5.0,506,Restaurant,
